day,student_id,purchased_items,total_spent
1,66,"Churros (3),Horchata",6.5
1,914,"Chicken Quesadilla,Horchata",9.5
1,783,"Chicken Quesadilla,Jarritos Soda",9.0
1,990,"Churros (3),Agua Fresca",7.0
1,989,"Chicken Quesadilla,Agua Fresca",10.0
1,967,"Churros (3),Mexican Hot Chocolate",6.5
1,506,"Chicken Quesadilla,Agua Fresca",10.0
1,992,"Churros (3),Mexican Hot Chocolate",6.5
1,968,"Churros (3),Mexican Hot Chocolate",6.5
1,573,"Churros (3),Mexican Hot Chocolate",6.5
1,288,"Churros (3),Horchata",6.5
1,548,"Churros (3),Mexican Hot Chocolate",6.5
1,108,"Churros (3),Agua Fresca",7.0
1,10,"Chicken Quesadilla,Agua Fresca",10.0
1,678,"Churros (3),Horchata",6.5
1,895,"Chicken Quesadilla,Jarritos Soda",9.0
1,341,"Churros (3),Jarritos Soda",6.0
1,182,"Churros (3),Mexican Hot Chocolate",6.5
1,39,"Churros (3),Mexican Hot Chocolate",6.5
1,253,"Chicken Quesadilla,Jarritos Soda",9.0
1,831,Churros (3),3.5
1,847,"Churros (3),Jarritos Soda",6.0
1,207,Chicken Quesadilla,6.5
1,563,"Chicken Quesadilla,Mexican Hot Chocolate",9.5
1,908,"Churros (3),Jarritos Soda",6.0
1,479,Chicken Quesadilla,6.5
1,345,"Chicken Quesadilla,Agua Fresca",10.0
1,52,"Churros (3),Horchata",6.5
1,981,"Churros (3),Jarritos Soda",6.0
1,857,"Churros (3),Mexican Hot Chocolate",6.5
1,754,"Churros (3),Mexican Hot Chocolate",6.5
1,134,"Churros (3),Mexican Hot Chocolate",6.5
1,665,"Chicken Quesadilla,Jarritos Soda",9.0
1,31,"Churros (3),Horchata",6.5
1,81,"Churros (3),Mexican Hot Chocolate",6.5
1,127,"Churros (3),Mexican Hot Chocolate",6.5
1,316,"Churros (3),Mexican Hot Chocolate",6.5
1,957,"Churros (3),Mexican Hot Chocolate",6.5
1,317,"Churros (3),Jarritos Soda",6.0
1,546,"Churros (3),Horchata",6.5
1,30,"Chicken Quesadilla,Mexican Hot Chocolate",9.5
1,320,Churros (3),3.5
1,292,"Churros (3),Horchata",6.5
1,44,"Chicken Quesadilla,Jarritos Soda",9.0
1,821,Chicken Quesadilla,6.5
1,439,"Churros (3),Jarritos Soda",6.0
1,524,"Churros (3),Jarritos Soda",6.0
1,511,"Chicken Quesadilla,Horchata",9.5
1,714,"Chicken Quesadilla,Agua Fresca",10.0
1,542,"Churros (3),Agua Fresca",7.0
1,523,"Churros (3),Agua Fresca",7.0
1,152,"Churros (3),Jarritos Soda",6.0
1,515,"Churros (3),Mexican Hot Chocolate",6.5
1,92,"Churros (3),Mexican Hot Chocolate",6.5
1,531,"Chicken Quesadilla,Agua Fresca",10.0
1,70,"Churros (3),Mexican Hot Chocolate",6.5
1,951,"Churros (3),Horchata",6.5
1,291,Churros (3),3.5
1,12,"Churros (3),Horchata",6.5
1,891,"Chicken Quesadilla,Jarritos Soda",9.0
2,558,"Chicken Quesadilla,Agua Fresca",10.0
2,679,"Chicken Quesadilla,Agua Fresca",10.0
2,479,Chicken Quesadilla,6.5
2,168,Churros (3),3.5
2,123,"Chicken Quesadilla,Jarritos Soda",9.0
2,714,"Chicken Quesadilla,Agua Fresca",10.0
2,447,"Churros (3),Jarritos Soda",6.0
2,692,"Chicken Quesadilla,Jarritos Soda",9.0
2,218,"Chicken Quesadilla,Agua Fresca",10.0
2,404,"Chicken Quesadilla,Jarritos Soda",9.0
2,228,"Churros (3),Jarritos Soda",6.0
2,996,"Chicken Quesadilla,Mexican Hot Chocolate",9.5
2,182,"Churros (3),Horchata",6.5
2,454,Churros (3),3.5
2,990,"Churros (3),Agua Fresca",7.0
2,229,"Churros (3),Horchata",6.5
2,818,"Churros (3),Mexican Hot Chocolate",6.5
2,60,Churros (3),3.5
2,740,"Chicken Quesadilla,Mexican Hot Chocolate",9.5
2,968,"Churros (3),Horchata",6.5
2,773,"Churros (3),Mexican Hot Chocolate",6.5
2,172,"Churros (3),Agua Fresca",7.0
2,785,"Chicken Quesadilla,Jarritos Soda",9.0
2,465,"Chicken Quesadilla,Mexican Hot Chocolate",9.5
2,631,"Chicken Quesadilla,Jarritos Soda",9.0
2,208,"Churros (3),Horchata",6.5
2,185,"Chicken Quesadilla,Agua Fresca",10.0
2,563,"Chicken Quesadilla,Agua Fresca",10.0
2,30,"Chicken Quesadilla,Mexican Hot Chocolate",9.5
2,511,Chicken Quesadilla,6.5
2,39,"Churros (3),Horchata",6.5
2,12,"Churros (3),Horchata",6.5
2,131,"Chicken Quesadilla,Jarritos Soda",9.0
2,523,"Churros (3),Agua Fresca",7.0
2,762,"Chicken Quesadilla,Mexican Hot Chocolate",9.5
2,474,"Churros (3),Horchata",6.5
2,678,"Churros (3),Horchata",6.5
